indel_size	fq
-43	5
-42	0
-41	0
-40	0
-39	6
-38	33
-37	0
-36	20
-35	2
-34	0
-33	14
-32	12
-31	2
-30	3
-29	3
-28	0
-27	0
-26	19
-25	20
-24	22
-23	2
-22	62
-21	35
-20	45
-19	50
-18	17
-17	59
-16	20
-15	183
-14	171
-13	287
-12	101
-11	232
-10	239
-9	232
-8	267
-7	1211
-6	2632
-5	1697
-4	887
-3	549
-2	2635
-1	895
0	55614
1	737
2	9
3	5
4	0
5	5
6	3
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	4
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	8
