indel_size	fq
-43	1
-42	0
-41	2
-40	10
-39	2
-38	32
-37	0
-36	32
-35	14
-34	7
-33	1
-32	0
-31	1
-30	8
-29	12
-28	11
-27	19
-26	52
-25	5
-24	8
-23	20
-22	23
-21	15
-20	3
-19	29
-18	50
-17	121
-16	32
-15	235
-14	247
-13	355
-12	71
-11	313
-10	135
-9	357
-8	418
-7	1330
-6	1153
-5	1101
-4	708
-3	247
-2	2132
-1	709
0	41502
1	115
2	10
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	3
11	0
12	0
13	0
14	0
15	5
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	3
27	0
28	0
29	4
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	1
43	3
44	0
45	0
46	1
