indel_size	fq
-43	7
-42	3
-41	0
-40	7
-39	8
-38	76
-37	12
-36	48
-35	4
-34	4
-33	13
-32	2
-31	16
-30	14
-29	7
-28	0
-27	5
-26	93
-25	15
-24	1
-23	8
-22	11
-21	14
-20	4
-19	18
-18	5
-17	24
-16	30
-15	781
-14	237
-13	714
-12	60
-11	277
-10	136
-9	246
-8	345
-7	567
-6	2322
-5	889
-4	1484
-3	647
-2	2928
-1	1142
0	8098
1	4137
2	80
3	26
4	26
5	4
6	2
7	20
8	7
9	7
10	16
11	10
12	10
13	5
14	8
15	24
16	10
17	1
18	2
19	5
20	6
21	16
22	3
23	0
24	3
25	1
26	7
27	2
28	9
29	7
30	3
31	0
32	2
33	3
34	0
35	2
36	0
37	2
38	5
39	0
40	0
41	0
42	0
43	1
44	2
45	0
46	2
