indel_size	fq
-43	5
-42	9
-41	2
-40	22
-39	27
-38	205
-37	11
-36	159
-35	14
-34	22
-33	33
-32	15
-31	29
-30	52
-29	15
-28	10
-27	30
-26	288
-25	9
-24	32
-23	64
-22	43
-21	37
-20	37
-19	43
-18	96
-17	86
-16	129
-15	1864
-14	728
-13	2185
-12	261
-11	948
-10	610
-9	994
-8	1322
-7	2455
-6	10936
-5	5165
-4	8833
-3	3952
-2	16099
-1	6638
0	137040
1	26138
2	414
3	52
4	122
5	21
6	72
7	19
8	46
9	72
10	83
11	46
12	36
13	13
14	7
15	65
16	6
17	39
18	11
19	24
20	39
21	8
22	9
23	14
24	13
25	2
26	0
27	12
28	2
29	12
30	13
31	5
32	4
33	11
34	8
35	0
36	17
37	3
38	12
39	29
40	10
41	6
42	1
43	4
44	0
45	2
46	3
