indel_size	fq
-43	2
-42	0
-41	0
-40	4
-39	0
-38	39
-37	6
-36	37
-35	9
-34	6
-33	8
-32	0
-31	3
-30	9
-29	30
-28	3
-27	0
-26	34
-25	7
-24	0
-23	31
-22	11
-21	11
-20	14
-19	9
-18	0
-17	19
-16	10
-15	389
-14	154
-13	382
-12	59
-11	160
-10	92
-9	178
-8	183
-7	583
-6	2092
-5	1025
-4	1384
-3	785
-2	2860
-1	1150
0	91565
1	9988
2	229
3	8
4	1
5	10
6	3
7	0
8	0
9	32
10	11
11	20
12	5
13	0
14	3
15	12
16	3
17	0
18	3
19	0
20	0
21	0
22	9
23	8
24	0
25	0
26	10
27	0
28	1
29	10
30	2
31	0
32	1
33	7
34	5
35	18
36	0
37	1
38	2
39	11
40	2
41	1
42	0
43	0
44	0
45	0
46	0
47	0
48	1
