# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	0.000000000000000000e+00
55	0.000000000000000000e+00
56	0.000000000000000000e+00
57	0.000000000000000000e+00
58	0.000000000000000000e+00
59	0.000000000000000000e+00
60	0.000000000000000000e+00
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	0.000000000000000000e+00
65	0.000000000000000000e+00
66	0.000000000000000000e+00
67	0.000000000000000000e+00
68	0.000000000000000000e+00
69	0.000000000000000000e+00
70	0.000000000000000000e+00
71	2.475921661838619350e-03
72	7.427764985515858051e-03
73	2.475921661838619350e-02
74	2.475921661838619350e-02
75	3.961474658941790961e-02
76	5.199435489861100462e-02
77	7.180172819331996636e-02
78	9.408502314986753878e-02
79	1.262720047537695955e-01
80	1.906459679615737091e-01
81	2.773032261259253950e-01
82	3.961474658941790961e-01
83	4.729010374111762838e-01
84	6.239322587833321387e-01
85	1.220629379286439331e+00
86	1.931218896234123239e+00
87	3.030528114090470293e+00
88	4.969174775310109204e+00
89	5.612914407388149840e+00
90	8.009606576047934468e+00
91	1.127534724801307320e+01
92	1.020079724677511201e+01
93	5.412364752779222243e+00
94	4.050607838767981583e+00
95	1.787615439847483279e+00
96	1.401371660600658542e+00
97	1.047314862957736015e+00
98	7.378246552279086323e-01
99	5.669860605610438364e-01
100	5.174676273242714286e-01
101	3.070142860679888064e-01
102	2.822550694496026025e-01
103	1.881700462997350776e-01
104	1.460793780484785365e-01
105	1.287479264156081993e-01
106	7.427764985515858398e-02
107	7.427764985515858398e-02
108	4.704251157493376939e-02
109	3.961474658941790961e-02
110	3.218698160390204982e-02
111	1.485552997103171610e-02
112	2.475921661838619350e-03
113	2.475921661838619350e-03
114	0.000000000000000000e+00
115	0.000000000000000000e+00
116	0.000000000000000000e+00
117	0.000000000000000000e+00
