# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	0.000000000000000000e+00
55	0.000000000000000000e+00
56	0.000000000000000000e+00
57	0.000000000000000000e+00
58	0.000000000000000000e+00
59	0.000000000000000000e+00
60	0.000000000000000000e+00
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	0.000000000000000000e+00
65	0.000000000000000000e+00
66	0.000000000000000000e+00
67	0.000000000000000000e+00
68	0.000000000000000000e+00
69	0.000000000000000000e+00
70	0.000000000000000000e+00
71	1.474948008082715067e-03
72	4.424844024248144984e-03
73	5.899792032330860268e-03
74	5.899792032330860268e-03
75	5.899792032330860268e-03
76	7.374740040413575552e-03
77	1.474948008082715110e-02
78	1.622442808890986465e-02
79	2.507411613740615636e-02
80	2.654906414548887164e-02
81	3.392380418590244806e-02
82	4.867328426672960090e-02
83	8.407203646071476077e-02
84	1.253705806870307748e-01
85	2.522161093821442823e-01
86	5.457307629906046342e-01
87	8.849688048496290316e-01
88	2.224221596188734384e+00
89	2.448413693417307080e+00
90	3.206536969571822659e+00
91	5.932240888508680143e+00
92	6.948480066077670436e+00
93	3.110665349046445982e+00
94	1.120960486142863477e+00
95	4.351096623844009637e-01
96	3.613622619802652203e-01
97	2.876148615761294214e-01
98	1.991179810911665460e-01
99	1.460198528001887819e-01
100	1.253705806870307748e-01
101	8.702193247688018440e-02
102	7.227245239605303850e-02
103	5.014823227481231271e-02
104	3.982359621823330920e-02
105	3.982359621823330920e-02
106	3.834864821015059044e-02
107	2.949896016165430221e-02
108	4.424844024248144984e-03
109	4.424844024248144984e-03
110	1.474948008082715067e-03
111	1.474948008082715067e-03
112	0.000000000000000000e+00
113	0.000000000000000000e+00
114	0.000000000000000000e+00
115	0.000000000000000000e+00
116	0.000000000000000000e+00
117	0.000000000000000000e+00
